postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh
"3921","56","114","47.4","163","140","23","0","54","2","0","3911","25,029","4.8"
"3922","1237","8824","13.4","5727","4350","1134","243","1186","50","1","5440","34,819","6.7"
"3923","125","511","24.1","476","445","31","0","123","2","0","941","6,022","1.2"
"3925","508","2925","16.7","2432","1795","636","0","488","20","0","1186","7,589","1.5"
"3926","431","1872","21.2","1976","1465","511","0","396","35","0","42769","273,721","52.3"
"3927","232","1228","18.0","957","766","191","0","221","11","0","20181","129,160","24.8"
"3928","74","276","20.3","522","242","280","0","56","18","0","13308","85,172","16.3"
"3929","186","929","18.0","1009","664","345","0","167","19","0","24303","155,540","29.7"
"3930","1275","6555","18.4","5595","4740","855","0","1209","66","0","133483","854,289","163.5"
"3931","1952","8822","21.6","6682","5711","971","0","1904","48","0","193470","1,238,206","237.9"
"3933","118","374","22.2","1034","396","638","0","83","35","0","28054","179,548","34.3"
"3934","1584","8502","18.0","5901","5129","772","0","1528","56","0","132280","846,592","162"
"3936","1028","8699","11.3","4174","3326","848","0","982","46","0","130666","836,265","160.4"
"3937","191","876","19.1","1141","652","489","0","167","24","0","30518","195,315","37.3"
"3938","334","2065","15.9","1176","1101","76","0","328","6","0","27702","177,291","33.9"
"3939","1470","8987","15.7","5960","4526","1434","0","1408","62","0","164584","1,053,341","201.9"
"3940","322","3631","8.6","1082","930","152","0","312","10","0","43269","276,922","53"
"3941","1233","12055","10.0","4528","4156","372","0","1204","29","0","156131","999,240","191.2"
"3942","298","3541","8.2","1093","1025","67","0","292","6","0","43350","277,440","53.1"
"3943","287","3034","8.9","1317","989","328","0","270","17","0","45564","291,608","57.1"
"3944","110","1466","6.1","596","313","282","0","90","20","0","28186","180,391","35.3"
"3945","180","490","34.9","838","667","171","0","171","9","0","17678","113,137","21.6"
"3946","37","101","35.6","150","140","10","0","36","1","0","4782","30,605","5.9"
"3950","575","2320","23.6","3038","1978","805","256","548","26","1","14690","94,016","18"
"3951","147","488","28.3","686","548","139","0","138","9","0","17994","115,161","22"
"3953","911","3347","25.3","4516","3002","1315","200","847","63","1","51882","332,042","63.5"
"3954","59","170","33.5","239","214","25","0","57","2","0","7329","46,907","9"
"3956","589","2903","19.6","2328","1955","373","0","570","19","0","30284","193,818","37.1"
"3957","40","139","27.3","172","141","30","0","38","2","0","6032","38,608","7.4"
"3958","27","174","14.9","131","115","16","0","26","1","0","7032","45,006","8.6"
"3959","296","1327","21.3","1065","838","227","0","283","13","0","19338","123,764","23.7"
"3960","477","1531","30.0","1935","1481","454","0","460","17","0","27772","177,742","34"
"3962","175","562","30.6","603","543","60","0","172","3","0","12092","77,390","15.3"
"3964","27","99","27.3","103","103","0","0","27","0","0","1567","10,028","1.9"
"3965","46","128","35.2","169","159","10","0","45","1","0","463","2,965",".6"
"3966","75","290","24.5","296","241","55","0","71","4","0","10809","69,181","13.6"
"3967","24","65","35.4","102","92","10","0","23","1","0","4538","29,043","5.7"
"3971","550","2336","22.6","2323","1843","331","150","529","20","1","65081","416,521","81.9"
"3975","1665","4751","34.6","7245","6087","441","717","1643","20","2","83090","531,774","104.3"
"3976","1968","8635","22.7","6315","6171","145","0","1961","7","0","110521","707,332","130.2"
"3977","8989","37037","24.0","34942","33119","1823","0","8899","90","0","622787","3,985,837","763.4"
"3978","1942","5694","33.6","10294","9609","685","0","1916","26","0","128226","820,645","151.7"
"3979","49","143","33.6","230","214","16","0","48","1","0","6342","40,591","7.8"
"3980","410","1345","29.4","1768","1488","280","0","395","15","0","31790","203,459","38.9"
"3981","523","2004","24.3","2692","1800","892","0","487","36","0","70697","452,464","86.7"
"3984","815","3374","23.6","3160","2891","269","0","797","18","0","46192","295,628","56.6"
"3987","216","573","34.9","961","733","228","0","200","16","0","9955","63,710","12.2"
"3988","159","443","32.7","799","556","243","0","145","14","0","13672","87,504","16.7"
"3990","25","53","47.2","102","102","0","0","25","0","0","3408","21,813","4.2"
"3991","81","192","40.6","325","292","33","0","78","3","0","7710","49,347","9.4"
"3992","140","536","24.4","590","479","111","0","131","9","0","14449","92,475","17.7"
"3995","1376","6102","22.0","5640","4828","811","0","1343","33","0","17898","114,547","21.9"
"3996","909","4412","20.2","3693","3159","533","0","891","18","0","14306","91,557","17.5"
"4000","193","1495","11.4","1207","608","599","0","171","22","0","63168","404,278","91.9"
"4005","432","1923","20.6","2268","1565","703","0","397","35","0","46448","297,267","67.7"
"4006","285","986","21.9","3009","832","1926","251","216","68","1","92613","592,722","135.1"
"4007","609","2872","18.8","3866","2311","1205","351","541","67","1","63892","408,907","93.3"
"4008","56","127","25.2","6798","121","952","5725","32","21","3","127728","817,456","187"
"4010","154","485","29.5","791","535","256","0","143","11","0","19585","125,341","28.8"
"4011","1057","4254","23.7","4884","4009","876","0","1008","49","0","90569","579,644","133.1"
"4012","1662","6205","26.3","6285","5834","450","0","1629","33","0","92952","594,895","135.6"
"4013","426","1699","23.3","2218","1400","819","0","396","30","0","55027","352,173","81.8"
"4014","1717","4680","35.4","7544","5838","1706","0","1659","58","0","145444","930,843","215.5"
"4017","5176","13668","37.5","18148","17228","920","0","5126","50","0","191468","1,225,395","279.3"
"4018","1699","5928","28.5","6647","5337","179","1131","1687","11","1","60749","388,796","88.6"
"4019","2318","7383","30.5","8983","7729","1254","0","2252","66","0","120360","770,302","176.6"
"4020","2877","7898","35.6","11142","10174","967","0","2814","63","0","117735","753,502","171.7"
"4021","1398","3946","35.0","4941","4523","417","0","1380","18","0","56223","359,826","82.1"
"4022","1216","2417","49.9","3731","3508","223","0","1207","9","0","43704","279,703","63.8"
"4025","182","337","52.2","464","367","98","0","176","6","0","7084","45,338","10.3"
"4030","1103","4017","26.6","4863","4154","709","0","1067","36","0","67184","429,978","98"
"4031","1084","4170","25.2","4761","3878","883","0","1050","34","0","63159","404,220","92.5"
"4032","1141","4759","23.5","5157","3892","540","724","1120","19","2","87805","561,952","128"
"4034","5266","17018","30.4","19851","17932","1919","0","5170","96","0","306443","1,961,234","450.2"
"4035","4214","8556","48.4","16738","15796","942","0","4141","73","0","150344","962,204","219.2"
"4036","1067","2561","41.1","4004","3679","325","0","1052","15","0","38000","243,202","55.4"
"4037","1337","2543","51.7","5567","5270","297","0","1314","23","0","44103","282,259","64.3"
"4051","2250","8637","25.2","9692","8286","1406","0","2176","74","0","152864","978,332","223.7"
"4053","4775","16609","28.3","18269","16685","1410","175","4705","69","1","233061","1,491,594","340.4"
"4054","1766","5412","32.4","6113","5932","180","0","1754","12","0","69952","447,693","102.1"
"4055","3197","7002","45.0","12209","11489","720","0","3154","43","0","108745","695,967","158.6"
"4059","689","3052","21.6","2883","2338","545","0","660","29","0","45990","294,333","67.2"
"4060","1211","4014","29.2","5072","4566","506","0","1173","38","0","59344","379,801","86.5"
"4061","2235","6028","36.5","8586","8151","436","0","2203","32","0","86575","554,078","126.3"
"4064","727","3361","20.3","3462","2698","764","0","682","45","0","58508","374,451","85.7"
"4065","911","3319","26.5","3881","3369","513","0","878","33","0","42391","271,303","61.8"
"4066","810","2931","26.2","3977","2954","1024","0","769","41","0","63067","403,631","92.1"
"4067","453","1644","26.0","4494","1696","425","2373","427","21","5","42624","272,792","62.1"
"4068","1555","5562","26.8","7231","5844","883","505","1493","61","1","97848","626,225","142.6"
"4069","4608","12118","36.5","20293","17646","2647","0","4422","186","0","235771","1,508,933","330.5"
"4070","1914","4240","43.9","7665","6960","705","0","1860","54","0","83082","531,724","116.4"
"4073","1504","3179","45.6","6681","5324","1357","0","1449","55","0","61468","393,394","90.3"
"4074","3895","8886","43.0","15124","13390","1734","0","3824","71","0","161254","1,032,027","236.3"
"4075","2440","8318","28.6","9417","8581","836","0","2382","58","0","129606","829,477","189.6"
"4076","690","2039","30.3","8065","2012","2852","3201","617","72","1","168151","1,076,167","241.2"
"4077","3391","11690","28.6","11928","10769","1159","0","3345","46","0","189276","1,211,370","278.4"
"4078","3563","9176","38.6","12564","12031","533","0","3538","25","0","129181","826,757","181"
"4101","982","3165","29.5","4680","3210","1469","0","935","47","0","93195","596,448","135.7"
"4102","477","1562","28.4","2484","1500","757","226","443","33","1","47332","302,926","69.1"
"4103","1049","3979","26.0","3854","3485","370","0","1034","15","0","52102","333,450","76"
"4104","496","1978","23.8","2165","1744","420","0","470","26","0","31293","200,276","45.8"
"4105","1206","4486","25.9","4928","3977","952","0","1161","45","0","78770","504,126","115.7"
"4106","248","690","27.2","5279","645","1855","2779","188","56","4","114680","733,955","171.5"
"4107","809","2370","32.0","3880","2643","1236","0","759","50","0","71245","455,970","105.8"
"4108","832","2241","33.9","4339","2677","1662","0","760","72","0","114843","734,992","171.2"
"4109","5775","12846","44.4","19922","18793","1129","0","5705","70","0","201242","1,287,946","293.5"
"4110","1718","4182","38.1","9510","5931","3579","0","1593","125","0","250703","1,604,500","374.2"
"4111","121","241","48.5","433","373","60","0","117","4","0","12556","80,356","18.3"
"4112","1317","2699","48.2","4766","4533","233","0","1300","17","0","39106","250,281","57"
"4113","3792","10623","35.3","13734","11893","1235","606","3746","43","3","144930","927,553","211.4"
"4114","2431","10596","22.5","8430","7049","1381","0","2386","45","0","130657","836,206","190.9"
"4115","3158","6635","47.2","11456","10977","478","0","3135","23","0","112222","718,221","164.3"
"4116","4011","9216","43.1","13817","13362","455","0","3976","35","0","130061","832,388","189.6"
"4117","243","466","48.7","1678","854","574","250","227","15","1","28410","181,822","41.9"
"4118","4733","10646","43.8","17486","16130","1154","203","4663","69","1","183673","1,175,508","267.7"
"4119","1081","2418","42.5","4885","3619","1265","0","1027","54","0","55016","352,103","80.1"
"4120","526","2114","24.2","2120","1831","289","0","512","14","0","38304","245,144","55.8"
"4121","2553","8727","28.7","9838","9073","765","0","2502","51","0","111202","711,694","162.3"
"4122","4793","14912","31.6","17912","16063","1551","299","4719","72","2","229060","1,465,986","334.7"
"4123","3168","7236","42.9","12060","11129","932","0","3107","61","0","110388","706,483","161.3"
"4124","3849","6669","55.7","15617","13802","1814","0","3717","132","0","153389","981,690","214.9"
"4125","1538","2695","55.8","5936","5360","576","0","1504","34","0","76234","487,900","111.1"
"4127","3433","9809","34.1","13892","11184","1967","741","3344","88","1","167172","1,069,902","243.6"
"4128","2636","5614","46.2","9660","9148","513","0","2596","40","0","70980","454,275","103.5"
"4129","997","2246","42.2","4242","3236","1006","0","947","50","0","58651","375,363","86.2"
"4130","1499","3048","47.3","6303","5467","835","0","1441","58","0","82377","527,212","120.3"
"4131","1146","3481","32.3","4254","3638","616","0","1123","23","0","78560","502,784","115.4"
"4132","2850","8797","32.1","10025","9065","960","0","2820","30","0","149031","953,795","219.4"
"4133","2450","7148","33.5","9145","8230","915","0","2396","54","0","126878","812,022","184.9"
"4151","1090","3886","26.9","5067","4018","1048","0","1047","43","0","74035","473,825","108.3"
"4152","5169","17087","29.7","19779","18044","1735","0","5078","91","0","225264","1,441,689","328.5"
"4153","636","1629","37.9","2518","2237","282","0","617","19","0","34995","223,965","51.1"
"4154","1600","3790","41.0","6742","5959","783","0","1554","46","0","79157","506,608","115.9"
"4155","249","487","43.9","1580","904","676","0","214","35","0","38283","245,013","56.1"
"4156","590","1033","53.9","2657","2199","458","0","557","33","0","38048","243,506","55.7"
"4157","3259","7556","41.9","12632","10808","1824","0","3166","93","0","162213","1,038,165","236.5"
"4158","458","1805","25.2","1458","1412","46","0","454","4","0","18239","116,732","26.6"
"4159","2578","5249","48.6","8590","8211","379","0","2550","28","0","82866","530,344","120.8"
"4160","3219","6579","48.2","11304","10548","755","0","3172","47","0","114897","735,341","167.5"
"4161","2793","6152","45.0","9746","8814","420","512","2768","24","1","93136","596,071","135.8"
"4163","2170","5606","37.3","8737","6792","1443","502","2093","76","1","109961","703,751","160.7"
"4164","2701","5355","49.0","11044","9883","1161","0","2626","75","0","106146","679,333","154.8"
"4165","6834","13596","49.6","24079","22358","1520","200","6744","89","1","266861","1,707,911","389.1"
"4169","486","2077","21.6","2564","1657","737","171","449","36","1","42697","273,260","62.3"
"4170","2044","8545","22.9","9044","7239","1805","0","1954","90","0","134345","859,808","197.1"
"4171","1297","4569","26.7","6222","4926","1297","0","1219","78","0","69242","443,146","101.1"
"4172","515","1747","27.5","2758","1734","1024","0","481","34","0","87006","556,841","130.1"
"4173","1256","3358","36.4","4655","3876","778","0","1221","35","0","63585","406,947","93.7"
"4174","389","911","40.2","2135","1235","597","303","366","22","1","60339","386,170","90.2"
"4178","3177","9889","31.5","11649","10143","1506","0","3115","62","0","212824","1,362,076","310.4"
"4179","2652","7732","33.7","9265","8578","687","0","2606","46","0","99187","634,795","144.6"
"4183","432","1798","23.1","1544","1258","286","0","415","17","0","26124","167,193","38.1"
"4184","1872","4742","39.2","5444","5271","173","0","1861","11","0","32163","205,845","46.9"
"4205","921","2349","38.8","3018","2753","266","0","911","10","0","32013","204,881","46.7"
"4207","8294","22638","35.3","37439","28677","7432","1331","7985","305","4","517224","3,310,231","760.4"
"4208","3334","7279","44.3","14459","12135","2324","0","3222","112","0","158880","1,016,830","232.8"
"4209","5707","19114","28.9","28899","22706","3615","2579","5517","188","2","318236","2,036,710","452.5"
"4210","3239","7354","42.5","13827","12194","1633","0","3129","110","0","137686","881,188","195.7"
"4211","8667","22824","36.8","35820","30600","4685","535","8406","258","3","389987","2,495,919","555.8"
"4212","4711","11305","39.6","21610","17511","3600","498","4473","237","1","222743","1,425,557","317.6"
"4213","4686","10041","45.1","19589","17048","2541","0","4530","156","0","197714","1,265,369","281.1"
"4214","5456","13844","37.8","23917","18152","5765","0","5229","227","0","290716","1,860,582","417.3"
"4215","2854","14786","18.4","12559","8859","3104","596","2727","125","2","224741","1,438,340","320.4"
"4216","4594","13930","32.1","16980","14861","2119","0","4467","127","0","213448","1,366,065","304"
"4217","2538","8110","29.7","11580","9537","2043","0","2408","130","0","184722","1,182,219","262.6"
"4218","3229","9727","31.8","13546","11522","2024","0","3094","135","0","171045","1,094,691","243.3"
"4219","17","243","5.8","87","37","50","0","14","3","0","","",""
"4220","3529","10622","31.6","16429","11724","3491","1215","3358","170","1","211142","1,351,312","302.5"
"4221","3625","9303","38.4","12928","11574","718","636","3575","49","1","137083","877,332","194.9"
"4223","2233","5277","40.8","8735","7085","1651","0","2154","79","0","97746","625,571","139.8"
"4224","569","2169","25.5","2296","1831","465","0","554","15","0","26780","171,390","38.1"
"4225","269","1248","20.0","1225","866","359","0","249","20","0","36148","231,345","51.5"
"4226","4017","12062","32.6","15628","14065","1564","0","3938","79","0","211286","1,352,229","300.9"
"4227","2438","7573","31.4","9419","8429","990","0","2381","57","0","103366","661,541","147.2"
"4228","982","1703","55.0","4460","3682","578","200","936","45","1","47115","301,534","66.9"
"4230","9","394","2.0","34","24","10","0","8","1","0","","",""
"4270","862","1423","57.9","3769","3187","582","0","824","38","0","39572","253,258","57.7"
"4271","346","1323","26.1","932","917","15","0","345","1","0","","",""
"4272","998","2107","45.6","4118","3521","598","0","961","37","0","61731","395,080","87.7"
"4275","668","1302","47.9","3203","2328","875","0","624","44","0","48657","311,403","69.1"
"4280","3594","5741","59.9","15875","13422","2201","252","3437","156","1","154849","991,035","216.9"
"4285","3560","8061","42.7","14921","12638","2283","0","3442","118","0","223412","1,429,839","313.1"
"4287","116","373","28.2","620","380","240","0","105","11","0","15031","96,196","21"
"4300","7434","21595","33.7","32229","27342","3472","1415","7282","149","3","367202","2,350,093","513.6"
"4301","3333","10387","31.7","12419","11719","700","0","3294","39","0","155303","993,939","217.4"
"4303","396","1472","26.5","1279","1169","111","0","390","6","0","29875","191,203","41.8"
"4304","2145","7525","28.0","7879","6705","842","333","2110","34","1","120981","774,277","169.5"
"4305","8070","26220","30.3","29649","25787","2759","1104","7937","131","2","401670","2,570,689","562.6"
"4306","7440","13856","52.1","31210","27549","3181","481","7218","221","1","358200","2,292,478","483.5"
"4307","307","580","50.5","1324","1131","193","0","293","14","0","22873","146,386","32"
"4309","568","1348","40.7","2385","2014","371","0","548","20","0","50869","325,562","71.2"
"4310","1220","2546","46.3","4640","3903","737","0","1180","40","0","79327","507,694","111"
"4311","1973","4384","43.8","7923","7103","820","0","1922","51","0","143908","921,011","201.2"
"4312","740","1321","54.3","2889","2412","478","0","717","23","0","41299","264,315","57.7"
"4313","536","1117","46.0","2079","1662","417","0","514","22","0","37468","239,792","52.4"
"4340","932","2259","39.7","3681","3138","543","0","897","35","0","71251","456,006","99.6"
"4341","3129","5969","51.1","12383","11054","1330","0","3053","76","0","146464","937,372","205.1"
"4342","512","1185","41.4","2162","1776","387","0","491","21","0","38546","246,697","53.9"
"4343","1706","4242","37.9","11712","5855","2328","3528","1606","99","1","149834","958,938","224.6"
"4344","447","1097","38.1","2217","1649","568","0","418","29","0","35100","224,640","52.6"
"4345","1","30","","2","2","0","0","1","0","0","","",""
"4346","200","393","49.4","855","773","82","0","194","6","0","11350","72,638","15.9"
"4347","274","519","48.7","1426","915","511","0","253","21","0","20416","130,659","30.5"
"4350","10165","46935","20.9","44731","33674","8756","2301","9804","357","4","926051","5,926,729","1391"
"4352","4715","10976","41.2","21682","17210","3518","954","4522","192","1","331032","2,118,608","494.9"
"4353","52","129","38.0","263","186","78","0","49","3","0","5969","38,199","8.8"
"4354","223","507","42.4","1004","809","195","0","215","8","0","16516","105,702","24.3"
"4355","452","1211","36.6","1569","1419","150","0","443","9","0","36690","234,815","54"
"4356","699","1999","32.4","3492","2265","944","284","648","50","1","56076","358,887","82.3"
"4357","378","1134","31.0","2370","1245","671","455","351","25","2","54467","348,587","80"
"4358","334","906","34.7","1514","1239","275","0","314","20","0","34203","218,900","51.1"
"4359","213","520","39.2","892","756","136","0","204","9","0","18851","120,649","28.2"
"4360","106","276","30.8","814","329","485","0","85","21","0","8589","54,969","12.8"
"4361","397","1223","29.6","2171","1320","851","0","362","35","0","50709","324,536","75.9"
"4362","486","1094","40.0","3045","1612","1433","0","438","48","0","42548","272,305","63.6"
"4363","129","231","53.7","478","400","78","0","124","5","0","8480","54,270","12.7"
"4364","47","79","53.2","287","198","90","0","42","5","0","6313","40,405","9.3"
"4365","91","289","29.1","463","321","143","0","84","7","0","9071","58,052","13.5"
"4370","2477","8573","27.4","11622","8523","3099","0","2352","125","0","78151","500,168","113"
"4371","141","354","39.3","538","503","36","0","139","2","0","13983","89,488","20.2"
"4372","33","65","50.8","116","116","0","0","33","0","0","3350","21,440","4.8"
"4373","152","445","32.4","702","509","193","0","144","8","0","16841","107,781","24.4"
"4374","72","190","33.2","385","199","186","0","63","9","0","7927","50,735","11.5"
"4375","31","115","25.2","139","98","41","0","29","2","0","5147","32,939","7.4"
"","","115","","","","","","","","","","",""
"4376","58","164","31.1","442","176","267","0","51","7","0","5697","36,459","8.2"
"4377","112","255","40.0","642","397","244","0","102","10","0","7230","46,274","10.5"
"","","255","","","","","","","","","","",""
"4378","102","216","46.8","386","375","11","0","101","1","0","11488","73,525","16.6"
"4380","1316","3687","34.1","5888","4679","1209","0","1257","59","0","102307","654,768","148.2"
"","","3687","","","","","","","","","","",""
"4381","108","320","31.3","478","366","112","0","100","8","0","9042","57,867","13.1"
"4382","99","300","29.0","533","322","210","0","87","12","0","11516","73,700","16.7"
"4383","129","329","38.6","481","457","24","0","127","2","0","8779","56,183","12.7"
"4384","1","25","","2","2","0","0","1","0","0","1369","8,760","2"
"4385","167","674","22.7","793","579","213","0","153","14","0","23161","148,233","33.5"
"","","674","","","","","","","","","","",""
"4387","167","611","23.9","1112","595","517","0","146","21","0","28368","181,556","41.1"
"4388","68","200","31.0","297","195","103","0","62","6","0","9597","61,419","14.5"
"4390","763","2772","25.5","4858","2790","1370","698","706","56","1","103808","664,373","157.3"
"4400","375","759","48.0","1611","1393","218","0","364","11","0","17187","109,994","25.2"
"4401","752","2206","31.9","103136","2496","846","99793","703","47","2","83993","537,557","123.8"
"4402","54","205","26.3","206","206","0","0","54","0","0","5586","35,751","8.2"
"4403","127","367","31.1","773","458","315","0","114","13","0","27265","174,496","40.1"
"4404","55","212","23.6","346","218","128","0","50","5","0","19798","126,706","29.1"
"4405","1607","6240","23.6","9352","5523","3830","0","1473","134","0","191252","1,224,011","282.4"
"4406","173","697","22.8","138515","598","325","137592","159","13","1","82614","528,732","121.3"
"4407","67","281","21.4","411","270","141","0","60","7","0","14051","89,928","20.6"
"4408","143","286","49.0","450","409","41","0","140","3","0","8927","57,135","13.1"
"4410","223","547","39.7","893","807","86","0","217","6","0","19874","127,193","29.2"
"4411","50","136","35.3","224","193","31","0","48","2","0","10416","66,664","15.3"
"4412","37","85","41.2","172","145","27","0","35","2","0","14123","90,385","20.7"
"4413","829","3660","21.4","24021","2778","1175","20068","783","44","2","113953","729,302","167.5"
"4415","254","1236","18.5","1427","796","631","0","229","25","0","49678","317,938","76.2"
"4416","53","268","17.2","586","194","92","300","46","6","1","16423","105,106","25.1"
"4417","124","390","30.3","528","442","87","0","118","6","0","10766","68,901","16.5"
"4418","14","53","24.5","50","38","12","0","13","1","0","4440","28,416","6.8"
"4419","129","404","29.7","586","428","159","0","120","9","0","40660","260,225","62.3"
"4420","166","611","25.5","816","671","145","0","156","10","0","24283","155,410","37.2"
"4421","243","1341","16.7","1177","850","327","0","224","19","0","18801","120,325","27.6"
"4422","66","279","19.7","374","212","162","0","55","11","0","17277","110,575","26.5"
"4423","22","106","17.9","145","93","52","0","19","3","0","6291","40,260","9.6"
"4424","32","128","22.7","148","116","31","0","29","3","0","7729","49,468","11.8"
"4425","19","141","12.8","96","83","13","0","18","1","0","5529","35,388","8.5"
"4427","67","187","34.8","220","198","21","0","65","2","0","5125","32,802","7.9"
"4428","127","322","37.3","436","337","99","0","120","7","0","20418","130,672","31.3"
"4454","150","409","33.7","725","484","241","0","138","12","0","24938","159,601","38.3"
"4455","1240","4235","27.5","5102","3429","1674","0","1163","77","0","128875","824,801","198.4"
"4461","9","31","","39","19","20","0","7","2","0","1456","9,321","2.2"
"4462","10","66","12.1","33","13","21","0","8","2","0","1654","10,588","2.5"
"4465","272","739","34.6","1029","810","219","0","256","16","0","19978","127,861","30.6"
"4467","38","133","25.6","157","99","58","0","34","4","0","2859","18,296","4.4"
"4468","67","161","37.3","311","231","81","0","60","7","0","6230","39,873","9.7"
"4470","408","1766","21.5","2862","1598","506","758","380","27","1","42642","272,912","66.2"
"4472","149","753","17.5","848","546","301","0","132","17","0","33332","213,326","52.1"
"4477","86","266","28.6","497","337","159","0","76","10","0","8281","52,996","12.8"
"4478","70","238","23.9","526","237","290","0","57","13","0","8591","54,983","13.4"
"4480","79","352","19.6","414","293","120","0","69","10","0","21362","136,716","34.2"
"4481","11","76","10.5","99","46","53","0","8","3","0","4026","25,766","6.5"
"4482","5","158","2.5","38","13","25","0","4","1","0","3401","21,769","5.5"
"4486","101","368","24.5","560","368","192","0","90","11","0","19993","127,952","29.8"
"4487","394","1405","24.6","2386","1449","937","0","345","49","0","57643","368,913","88.5"
"4488","38","153","24.8","132","132","0","0","38","0","0","7760","49,663","12"
"4489","12","45","","60","60","0","0","12","0","0","3298","21,109","5.1"
"4490","242","716","31.8","1197","941","256","0","228","14","0","35353","226,262","54.8"
"4491","17","64","26.6","55","55","0","0","17","0","0","3334","21,336","5.1"
"4492","51","140","27.1","448","186","262","0","38","13","0","3852","24,652","6.2"
"4494","28","93","25.8","168","112","56","0","24","4","0","7402","47,374","11.2"
"4496","39","131","29.0","208","197","11","0","38","1","0","6533","41,814","9.8"
"4497","43","172","21.5","239","163","76","0","37","6","0","10658","68,214","16.1"
"4500","6811","15872","41.7","30050","24567","4273","1210","6611","198","2","330558","2,115,570","486.2"
"4501","859","2525","32.9","3335","2884","451","0","830","29","0","40775","260,959","59.9"
"4502","1492","3276","45.3","5591","5434","157","0","1484","8","0","48215","308,575","70.3"
"4503","5921","19272","30.4","23028","21633","1145","250","5853","67","1","239553","1,533,138","349.4"
"4504","3393","6467","51.5","15238","12749","1457","1032","3328","63","2","149219","954,999","219.4"
"4505","4337","8225","51.8","17392","15785","1607","0","4259","78","0","156501","1,001,606","228.4"
"4506","3226","8221","38.5","13308","11640","1264","404","3161","64","1","154700","990,083","225.4"
"4507","4725","9777","47.6","15741","14672","1069","0","4657","68","0","133379","853,629","179.5"
"4508","2683","7354","35.9","9766","8916","850","0","2642","41","0","105075","672,477","153.5"
"4509","4266","12199","34.3","18116","15686","1564","865","4181","83","2","185901","1,189,767","270.6"
"4510","7825","19709","38.8","32305","28045","3740","520","7639","185","1","354811","2,270,788","478.4"
"4511","2247","4099","54.1","7619","7265","354","0","2219","28","0","70334","450,137","102.5"
"4512","724","1251","54.1","3447","2654","793","0","677","47","0","48034","307,420","64.5"
"4514","1449","2674","52.1","6022","5207","815","0","1392","57","0","77963","498,966","104.7"
"4515","798","1792","43.1","3323","2809","514","0","772","26","0","50297","321,902","67.7"
"4516","952","1310","70.2","4007","3536","471","0","919","33","0","56665","362,655","76.2"
"4517","188","308","58.4","851","677","174","0","180","8","0","14611","93,512","19.6"
"4518","1087","1966","53.7","4230","3742","488","0","1055","32","0","49542","317,071","66.6"
"4519","1686","3380","48.6","6507","5809","698","0","1643","43","0","85026","544,167","114.3"
"4520","2658","4568","55.0","11776","9730","2046","0","2514","144","0","129226","827,047","188.3"
"4521","976","1910","49.4","4013","3560","453","0","943","33","0","48552","310,734","65.2"
"4550","836","1723","47.7","2988","2790","198","0","822","14","0","31763","203,285","42.7"
"4551","10627","22977","45.5","36938","33325","3362","250","10451","175","1","388518","2,486,518","553.4"
"4552","2151","4190","50.3","7220","6546","674","0","2108","43","0","95769","612,924","128.6"
"4553","1356","2173","60.4","5826","5165","661","0","1313","43","0","46444","297,241","62.5"
"4554","327","681","46.3","1376","1211","164","0","315","12","0","17096","109,415","22.9"
"4555","1397","2561","53.3","4907","4475","431","0","1365","32","0","59330","379,712","79.7"
"4556","7164","16761","41.7","27099","22848","3484","766","6990","172","2","313950","2,009,283","447.3"
"4557","2418","5874","40.3","9410","8553","857","0","2368","50","0","106045","678,686","150.8"
"4558","2106","7200","28.2","8152","6280","1872","0","2033","73","0","113303","725,141","161.2"
"4559","1111","2527","42.1","4831","4020","811","0","1065","46","0","55001","352,006","78.1"
"4560","5781","13596","41.6","21229","18896","2333","0","5660","121","0","231991","1,484,741","329.9"
"4561","1566","2712","55.2","22058","5603","1455","15000","1497","68","1","80627","516,013","115.1"
"4562","1639","3121","50.2","7181","6180","1001","0","1567","72","0","79097","506,220","112.4"
"4563","2026","3571","54.7","8337","6947","1389","0","1953","73","0","88021","563,335","125.2"
"4564","1852","4379","41.7","6524","5908","615","0","1827","25","0","71114","455,127","101.1"
"4565","2742","6638","40.3","10231","8909","1321","0","2672","70","0","107865","690,333","153.4"
"4566","1581","4204","35.4","7886","5642","1993","251","1487","93","1","88824","568,472","127.1"
"4567","1524","5402","27.0","6758","5671","1087","0","1457","67","0","90919","581,883","129.3"
"4568","766","1512","49.1","3005","2586","418","0","742","24","0","33331","213,319","46.7"
"4569","335","682","48.1","1198","1096","102","0","328","7","0","13419","85,881","18.8"
"4570","7950","19127","40.3","32633","27393","4319","921","7709","240","1","440950","2,822,078","618.5"
"4571","155","409","36.9","599","535","64","0","151","4","0","10688","68,403","15"
"4572","306","1071","27.8","1302","1159","143","0","298","8","0","17735","113,504","25.2"
"4573","3780","11954","30.8","15384","13491","1893","0","3677","103","0","172849","1,106,234","246.2"
"4574","240","663","34.5","883","729","154","0","229","11","0","19082","122,124","25.6"
"4575","4333","9142","46.1","16820","14062","2208","550","4215","117","1","181965","1,164,575","259.5"
"4580","1369","3093","43.9","4379","4171","208","0","1358","11","0","46591","298,182","65.4"
"4581","375","1306","27.3","1566","1241","325","0","356","19","0","21560","137,982","32.2"
