postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh
"2144","884","6525","12.7","4033","2400","1633","0","831","53","0","146761","939,271","190.4"
"2145","3231","21338","14.7","12148","8816","2881","451","3142","88","1","361482","2,313,488","468.8"
"2146","957","5700","16.4","3654","2619","500","535","932","24","1","66047","422,704","85.1"
"2147","2378","13184","17.5","8918","6793","1814","311","2309","67","2","217098","1,389,429","281.8"
"2148","3473","19657","17.0","14275","9475","4049","751","3350","121","2","417923","2,674,710","543.2"
"2150","201","2308","7.5","1108","527","581","0","174","27","0","80409","514,619","103.5"
"2151","669","4908","12.9","2781","1957","824","0","632","37","0","92158","589,813","119.1"
"2152","437","3236","13.0","1625","1291","334","0","421","16","0","55812","357,196","72.4"
"2153","3716","17914","20.1","13604","11112","2037","454","3597","118","1","271214","1,735,770","349.2"
"2154","2185","11955","17.6","8244","6774","1470","0","2108","77","0","218704","1,399,707","282.5"
"2155","4579","17985","24.3","19275","15448","3477","350","4365","213","1","269226","1,723,049","346.7"
"2156","1109","4227","22.5","5507","3180","2327","0","953","156","0","127171","813,897","163.3"
"2157","287","1192","20.6","1783","926","857","0","245","42","0","62897","402,539","81.5"
"2158","457","2809","13.6","2921","1490","1430","0","381","76","0","88279","564,984","113.6"
"2159","356","1628","18.6","1914","1179","735","0","303","53","0","66315","424,414","85.2"
"2160","959","8654","10.7","4617","2874","634","1109","926","32","1","118222","756,624","152.2"
"2161","1048","8311","11.9","4709","3073","1636","0","991","57","0","180698","1,156,468","235.8"
"2162","742","5610","12.6","3176","2111","1065","0","708","34","0","88474","566,234","114.7"
"2163","313","2201","13.2","1676","803","872","0","291","22","0","79940","511,614","104.9"
"2164","1298","6133","18.0","14162","3458","6976","3729","1106","185","7","411235","2,631,902","542.4"
"2165","1792","10309","16.9","6820","4772","1808","240","1740","51","1","169617","1,085,548","219.3"
"2166","2346","12789","17.9","7993","6332","1661","0","2291","55","0","185851","1,189,448","239.4"
"2167","661","3488","18.7","2166","2057","108","0","652","9","0","38476","246,244","49.4"
"2168","2242","12633","17.6","6871","6283","588","0","2221","21","0","155010","992,067","199.5"
"2170","5346","28288","18.1","25370","15633","6762","2975","5116","225","5","640310","4,097,986","833.8"
"2171","2188","11348","18.6","8452","7411","1041","0","2112","76","0","160246","1,025,577","208.1"
"2172","224","977","22.4","879","823","56","0","219","5","0","14192","90,828","18.3"
"2173","869","4483","19.2","2526","2435","91","0","861","8","0","84951","543,683","110.5"
"2174","445","920","46.3","2637","2232","405","0","426","19","0","16004","102,425","20.7"
"2175","150","586","16.0","2582","423","1410","749","94","54","2","53018","339,316","68.9"
"2176","2909","14296","19.8","10040","8733","1307","0","2836","73","0","205304","1,313,948","264.3"
"2177","939","4719","19.5","3136","2687","448","0","921","18","0","64073","410,064","82.4"
"2178","266","1252","15.9","2154","772","1382","0","199","67","0","97505","624,029","125.9"
"2179","357","2330","13.9","2161","1488","673","0","323","34","0","109710","702,143","142.2"
"2190","885","7708","11.0","4485","2545","1340","600","846","38","1","171775","1,099,362","224.4"
"2191","178","2109","8.3","575","515","60","0","175","3","0","23908","153,010","30.8"
"2192","319","2831","10.8","1090","854","236","0","305","14","0","47895","306,525","61.9"
"2193","502","4048","12.2","1706","1410","296","0","493","9","0","55468","354,996","71.5"
"2194","351","3060","10.7","1401","828","574","0","328","23","0","59614","381,529","77"
"2195","394","2736","13.7","1448","1007","441","0","374","20","0","58170","372,287","75.1"
"2196","946","8344","11.1","3089","2591","497","0","925","21","0","119589","765,371","154.4"
"2197","419","2879","14.2","1469","1322","146","0","410","9","0","37156","237,796","47.8"
"2198","366","2824","12.5","1262","1066","196","0","354","12","0","34957","223,726","45"
"2199","640","4905","12.6","2222","1783","439","0","620","20","0","63970","409,409","82.5"
"2200","1232","8752","13.2","5520","3481","2039","0","1153","79","0","201104","1,287,065","259.7"
"2203","342","2711","12.4","1059","958","100","0","336","6","0","37655","240,991","48.5"
"2204","678","5936","10.2","3720","1810","1910","0","606","72","0","129162","826,638","168.3"
"2205","308","2853","10.3","1133","836","296","0","295","13","0","51277","328,171","66.3"
"2206","661","6406","10.1","2232","1922","309","0","647","14","0","77160","493,826","99.4"
"2207","828","8610","9.3","2963","2256","707","0","801","27","0","103471","662,214","133.4"
"2208","481","4181","11.0","2125","1350","775","0","461","20","0","81756","523,237","106.6"
"2209","652","4763","13.6","1928","1774","154","0","646","6","0","58335","373,346","75.2"
"2210","1275","9106","13.5","4578","3511","1067","0","1229","46","0","139690","894,015","181.3"
"2211","691","6060","10.7","3479","1962","1280","238","651","39","1","107205","686,111","139.6"
